"","X."
"Hylobates_moloch",6048.4
"Hylobates_syndactylus",9554.67
"Hylochoerus_meinertzhageni",202500
"Hylomys_suillus",64
"Hylomyscus_alleni",20
"Hylomyscus_stella",16.7
"Hylopetes_alboniger",240
"Hylopetes_fimbriatus",510
"Hyomys_goliath",882
"Hyperacrius_wynnei",52.6
"Hyperoodon_ampullatus",5266666.67
"Hypogeomys_antimena",1250
"Hystrix_africaeaustralis",15680
"Hystrix_brachyura",8000
"Hystrix_cristata",18333.33
"Hystrix_indica",14650
"Hystrix_pumila",2740
"Ichneumia_albicauda",3150
"Ictonyx_libyca",500
"Ictonyx_striatus",765
"Idiurus_zenkeri",15.75
"Indri_indri",7918
"Inia_geoffrensis",96500
"Jaculus_jaculus",55
"Jaculus_orientalis",134
"Kannabateomys_amblyonyx",460
"Kerodon_rupestris",950
"Kobus_ellipsiprymnus",175333.33
"Kobus_kob",58600
"Kobus_leche",81733.33
"Kobus_megaceros",17500
"Kobus_vardonii",63950
"Kogia_breviceps",363000
"Kogia_simus",190233.33
"Lagenodelphis_hosei",164000
"Lagenorhynchus_acutus",182000
"Lagenorhynchus_albirostris",180000
"Lagenorhynchus_obliquidens",103000
"Lagenorhynchus_obscurus",110000
"Lagidium_peruanum",1270
"Lagidium_viscacia",600
"Lagostomus_maximus",3250
"Lagothrix_lagotricha",6076.25
"Lagurus_lagurus",20.3
"Lama_glama",142500
"Lama_guanicoe",110000
"Lama_pacos",60000
"Leggadina_forresti",20
"Leggadina_lakedownensis",17.5
"Lemmiscus_curtatus",27.17
"Lemmus_lemmus",51.67
"Lemmus_sibiricus",59.2
"Lemniscomys_griselda",59
"Lemniscomys_striatus",42.3
"Lemur_catta",2466.67
"Leontopithecus_rosalia",558
"Leopardus_pardalis",8800
"Leopardus_tigrinus",2250
"Leopardus_wiedii",3666.67
"Lepilemur_leucopus",700
"Lepilemur_mustelinus",713
"Lepilemur_ruficaudatus",779
"Leporillus_conditor",332.5
"Leptailurus_serval",13350
"Leptonychotes_weddellii",421666.67
"Lepus_alleni",3759.67
"Lepus_americanus",1489.25
"Lepus_arcticus",3766
"Lepus_californicus",2317
"Lepus_callotis",1820
"Lepus_capensis",2358
"Lepus_europaeus",3673.33
"Lepus_nigricollis",2099.5
"Lepus_othus",4506.33
"Lepus_saxatilis",2686
"Lepus_timidus",3030.43
"Lepus_tolai",2110
"Lepus_townsendii",3035.5
"Limnogale_mergulus",79.5
"Liomys_adspersus",65
"Liomys_irroratus",42.5
"Liomys_pictus",50
"Liomys_salvini",41
"Lipotes_vexillifer",83500
"Litocranius_walleri",41333.33
"Lobodon_carcinophagus",238333.33
"Lontra_canadensis",6225
"Lontra_longicaudis",7500
"Lophiomys_imhausi",755
"Lophocebus_albigena",6725.8
"Lophuromys_flavopunctatus",55
"Lophuromys_sikapusi",44.5
"Loris_tardigradus",237
"Loxodonta_africana",3507000
"Lutra_lutra",6750
"Lutra_maculicollis",4000
"Lutrogale_perspicillata",9000
"Lycaon_pictus",27133.33
"Lynx_canadensis",8900
"Lynx_lynx",18026.67
"Lynx_pardinus",9400
"Lynx_rufus",8600
"Macaca_arctoides",7307.67
"Macaca_cyclopis",6316.67
"Macaca_fascicularis",3456.29
"Macaca_fuscata",8857.5
"Macaca_maura",5575
"Macaca_mulatta",5413.4
"Macaca_nemestrina",6133.1
"Macaca_nigra",6211.67
"Macaca_radiata",3735
"Macaca_silenus",4875
"Macaca_sinica",3495
"Macaca_sylvanus",9752.6
"Macaca_thibetana",10036.67
