#Returns a data frame with the initial values (I), theta estimates (T)
#Log likelihoods (L), sigma (S), and alpha (A)

$bobyqa
             I        T        L          S          A
V49 0.97961224 4.241044 9.841744 0.4971963 3.035559
V50 1.00000000 4.241044 9.841744 0.4971959 3.035556

$rcgmin
             I        T             L           S           A
V1  0.00100000 4.205953 -2.674077e+05  0.00100000  0.00100000
V2  0.02138776 4.205958 -5.449997e+02  0.02138776  0.02138776
V3  0.04177551 4.205973 -1.215517e+02  0.04177551  0.04177551
V4  0.06216327 4.235734  9.805223e+00 11.95780746 74.29154973
V5  0.08255102 4.241044  9.841744e+00  0.49719852  3.03557419
V6  0.10293878 4.241044  9.841744e+00  0.49719744  3.03556703
V7  0.12332653 4.241044  9.841744e+00  0.49719684  3.03556305
V8  0.14371429 4.241044  9.841744e+00  0.49719702  3.03556429
V9  0.16410204 4.241044  9.841744e+00  0.49719635  3.03555975
V10 0.18448980 4.241044  9.841744e+00  0.49719675  3.03556240
V11 0.20487755 4.241044  9.841744e+00  0.49719805  3.03557113
V12 0.22526531 4.241044  9.841744e+00  0.49719806  3.03557111
V13 0.24565306 4.241044  9.841744e+00  0.49719638  3.03556006
V14 0.26604082 4.241044  9.841744e+00  0.49719885  3.03557639
V15 0.28642857 4.241044  9.841744e+00  0.49719654  3.03556108
V16 0.30681633 4.241044  9.841744e+00  0.49719660  3.03556145
V17 0.32720408 4.241044  9.841744e+00  0.49719489  3.03555028
V18 0.34759184 4.241045  9.841744e+00  0.49719259  3.03553496
V19 0.36797959 4.241044  9.841744e+00  0.49719881  3.03557615
V20 0.38836735 4.241044  9.841744e+00  0.49719800  3.03557076
V21 0.40875510 4.241044  9.841744e+00  0.49719999  3.03558382
V22 0.42914286 4.235734  9.805223e+00  8.59261536 53.38426271
V23 0.44953061 4.235734  9.805223e+00  7.92242196 49.22047992
V24 0.46991837 4.235734  9.805223e+00  8.88553641 55.20412346
V25 0.49030612 4.241044  9.841744e+00  0.49719914  3.03557823
V26 0.51069388 4.241044  9.841744e+00  0.49719833  3.03557295
V27 0.53108163 4.241044  9.841744e+00  0.49719581  3.03555623
V28 0.55146939 4.241044  9.841744e+00  0.49719736  3.03556647
V29 0.57185714 4.241044  9.841744e+00  0.49719842  3.03557356
