"","X..3"
"Microcavia_australis",1
"Microcebus_coquereli",2
"Microcebus_murinus",1
"Microcebus_rufus",1
"Microgale_dobsoni",0
"Microgale_talazaci",0
"Micromys_minutus",0
"Microtus_abbreviatus",0
"Microtus_agrestis",0
"Microtus_arvalis",0
"Microtus_breweri",0
"Microtus_californicus",0
"Microtus_canicaudus",0
"Microtus_guentheri",0
"Microtus_montanus",0
"Microtus_montebelli",0
"Microtus_ochrogaster",0
"Microtus_oeconomus",0
"Microtus_oregoni",0
"Microtus_pennsylvanicus",0
"Microtus_pinetorum",0
"Microtus_richardsoni",0
"Microtus_subterraneus",0
"Microtus_townsendii",0
"Microtus_xanthognathus",0
"Miopithecus_talapoin",2
"Mirounga_angustirostris",0
"Mirounga_leonina",0
"Monachus_monachus",1
"Monachus_schauinslandi",1
"Monodon_monoceros",2
"Moschus_moschiferus",2
"Mungotictis_decemlineata",1
"Muntiacus_muntjak",2
"Mus_minutoides",0
"Mus_musculus",0
"Mus_triton",0
"Muscardinus_avellanarius",1
"Mustela_altaica",1
"Mustela_erminea",1
"Mustela_eversmannii",1
"Mustela_frenata",1
"Mustela_lutreola",1
"Mustela_nivalis",1
"Mustela_putorius",1
"Mustela_sibirica",2
"Mustela_vison",1
"Myocastor_coypus",1
"Myoprocta_acouchy",1
"Myopus_schisticolor",0
"Myosorex_varius",0
"Myoxus_glis",1
"Myrmecophaga_tridactyla",1
"Mysateles_melanurus",2
"Mystromys_albicaudatus",1
"Nandinia_binotata",2
"Nannospalax_leucodon",1
"Napaeozapus_insignis",1
"Nasalis_larvatus",2
"Nasua_narica",2
"Nasua_nasua",2
"Neofelis_nebulosa",2
"Neofiber_alleni",0
"Neomys_anomalus",0
"Neomys_fodiens",1
"Neophoca_cinerea",2
"Neophocaena_phocaenoides",2
"Neotoma_albigula",0
"Neotoma_cinerea",0
"Neotoma_devia",0
"Neotoma_floridana",0
"Neotoma_fuscipes",0
"Neotoma_lepida",0
"Neotoma_micropus",0
"Neotoma_stephensi",1
"Notiosorex_crawfordi",1
"Notomys_alexis",0
"Notomys_cervinus",1
"Notomys_fuscus",0
"Notomys_mitchellii",0
"Nyctereutes_procyonoides",1
"Nycticebus_coucang",2
"Nyctomys_sumichrasti",0
"Ochotona_alpina",0
"Ochotona_pallasi",0
"Ochotona_princeps",0
"Ochotona_pusilla",0
"Ochotona_roylei",0
"Ochotona_rufescens",0
"Ochrotomys_nuttalli",0
"Octodon_degus",1
"Octodontomys_gliroides",1
"Odobenus_rosmarus",2
"Odocoileus_hemionus",2
