#Returns a data frame with the initial values (I),
#Log likelihoods (L), beta (B), and delta (D)

#Total time to run about 8 minutes (w/ 50 points)

$spg
            I         L       bLB      bUB          b       dLB      dUB         d        tune
V50 700.00000  9.805223 -18.42068 2.995732 0.02220650 -18.42068 6.551080 700.00000 0.01091667

$nlminb
            I        L bLB bUB          b dLB dUB        d        time
V1    1.00000 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008950000
V2   15.26531 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008850000
V3   29.53061 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.009716667
V4   43.79592 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008783333
V5   58.06122 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.009533333
V6   72.32653 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008866667
V7   86.59184 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008800000
V8  100.85714 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008883333
V9  115.12245 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008916667
V10 129.38776 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008950000
V11 143.65306 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008883333
V12 157.91837 10.44057  NA  NA 0.02074104  NA  NA 21.09358 0.008916667
