#Returns a data frame with the initial values (I), rate estimates (P)
#Log likelihoods (L) and standard error of the rate (S)

#Total time to run about 5 minutes (w/ 50 points)

$spg
             I lb    ub        P         L         S
V6   1.0293878 NA NA 242.6338 -8.317766  93388.70
V7   1.2332653 NA NA 243.9183 -8.317766       NaN
V8   1.4371429 NA NA 239.3594 -8.317766       NaN
V9   1.6410204 NA NA 246.1241 -8.317766       NaN
V10  1.8448980 NA NA 239.4120 -8.317766       NaN
V11  2.0487755 NA NA 239.0937 -8.317766 133710.86
V12  2.2526531 NA NA 243.0360 -8.317766  60118.99
V13  2.4565306 NA NA 245.4188 -8.317766  49931.35
V14  2.6604082 NA NA 241.0526 -8.317766       NaN
V15  2.8642857 NA NA 240.4977 -8.317766  54406.34
V16  3.0681633 NA NA 238.6472 -8.317766 107007.03
V17  3.2720408 NA NA 241.2874 -8.317766  42910.11
V18  3.4759184 NA NA 240.9796 -8.317766  56612.87
V19  3.6797959 NA NA 244.4763 -8.317766  76165.39
V20  3.8836735 NA NA 246.2444 -8.317766       NaN
V21  4.0875510 NA NA 239.5651 -8.317766  48039.05
V22  4.2914286 NA NA 240.8873 -8.317766  66440.50
V23  4.4953061 NA NA 241.9671 -8.317766       NaN
V24  4.6991837 NA NA 242.8269 -8.317766       NaN
V25  4.9030612 NA NA 242.3096 -8.317766  51629.10
V26  5.1069388 NA NA 240.6776 -8.317766       NaN
V27  5.3108163 NA NA 239.7486 -8.317766 201115.71
V28  5.5146939 NA NA 238.4672 -8.317766       NaN
V29  5.7185714 NA NA 245.8393 -8.317766       NaN
V30  5.9224490 NA NA 245.2943 -8.317766  60028.62
V31  6.1263265 NA NA 244.9848 -8.317766  64987.39
V32  6.3302041 NA NA 245.6752 -8.317766       NaN
V33  6.5340816 NA NA 246.0730 -8.317766  80964.97
V34  6.7379592 NA NA 238.6393 -8.317766 179051.03
V35  6.9418367 NA NA 239.1511 -8.317766       NaN
V36  7.1457143 NA NA 239.7066 -8.317766  73424.21
V37  7.3495918 NA NA 240.2968 -8.317766  43987.40
V38  7.5534694 NA NA 240.9147 -8.317766  77785.98
V39  7.7573469 NA NA 241.5547 -8.317766       NaN
V40  7.9612245 NA NA 242.2121 -8.317766  44604.29
V41  8.1651020 NA NA 242.8830 -8.317766       NaN
V42  8.3689796 NA NA 243.5643 -8.317766       NaN
V43  8.5728571 NA NA 244.2531 -8.317766  47636.96
V44  8.7767347 NA NA 244.9468 -8.317766  57544.87
V45  8.9806122 NA NA 245.6434 -8.317766       NaN
V46  9.1844898 NA NA 241.2332 -8.317766  95393.94
V47  9.3883673 NA NA 241.7296 -8.317766  98361.53
V48  9.5922449 NA NA 242.2331 -8.317766 104931.95
V49  9.7961224 NA NA 242.7426 -8.317766       NaN
V50 10.0000000 NA NA 243.1785 -8.317766  36202.89

$ucminf
             I lb ub        P         L        S
V1   0.0100000 NA NA 155.0136 -8.317770 4349.623
V2   0.2138776 NA NA 154.1410 -8.317771 4208.448
V3   0.4177551 NA NA 155.9029 -8.317770 4494.347
V4   0.6216327 NA NA 151.7889 -8.317771 3831.741
V5   0.8255102 NA NA 154.0787 -8.317771 4208.420
V6   1.0293878 NA NA 153.0891 -8.317771 4016.082
V7   1.2332653 NA NA 154.4594 -8.317770 4250.480
V8   1.4371429 NA NA 151.6252 -8.317772 3802.724
V9   1.6410204 NA NA 154.1402 -8.317771 4231.463
V10  1.8448980 NA NA 152.0263 -8.317771 3881.029
V11  2.0487755 NA NA 156.0703 -8.317770 4544.343
V12  2.2526531 NA NA 157.3127 -8.317770 4761.046
V13  2.4565306 NA NA 153.2377 -8.317771 4049.795
V14  2.6604082 NA NA 153.2965 -8.317771 4061.438
V15  2.8642857 NA NA 153.3924 -8.317771 4082.347
V16  3.0681633 NA NA 153.5266 -8.317771 4113.965
V17  3.2720408 NA NA 153.1966 -8.317771 4077.648
V18  3.4759184 NA NA 153.2872 -8.317771 4079.032
V19  3.6797959 NA NA 154.8500 -8.317770 4329.919
V20  3.8836735 NA NA 155.1619 -8.317770 4426.825
V21  4.0875510 NA NA 155.4653 -8.317770 4404.387
V22  4.2914286 NA NA 155.7766 -8.317770 4508.711
V23  4.4953061 NA NA 155.6907 -8.317770 4464.566
V24  4.6991837 NA NA 155.9984 -8.317770 4542.934
V25  4.9030612 NA NA 154.7848 -8.317770 4303.068
V26  5.1069388 NA NA 155.0906 -8.317770 4384.405
V27  5.3108163 NA NA 155.4045 -8.317770 4449.863
V28  5.5146939 NA NA 155.7145 -8.317770 4508.257
V29  5.7185714 NA NA 156.0227 -8.317770 4521.894
V30  5.9224490 NA NA 151.6412 -8.317772 3809.089
V31  6.1263265 NA NA 151.9736 -8.317771 3860.073
V32  6.3302041 NA NA 152.3108 -8.317771 3910.997
V33  6.5340816 NA NA 152.6189 -8.317771 3959.937
V34  6.7379592 NA NA 152.9531 -8.317771 4019.891
V35  6.9418367 NA NA 153.2824 -8.317771 4048.465
V36  7.1457143 NA NA 153.5963 -8.317771 4124.256
V37  7.3495918 NA NA 153.9193 -8.317771 4173.756
V38  7.5534694 NA NA 154.2376 -8.317771 4195.560
V39  7.7573469 NA NA 154.5496 -8.317770 4301.848
V40  7.9612245 NA NA 154.8533 -8.317770 4357.332
V41  8.1651020 NA NA 155.1855 -8.317770 4393.329
V42  8.3689796 NA NA 155.4940 -8.317770 4447.246
V43  8.5728571 NA NA 155.8105 -8.317770 4529.961
V44  8.7767347 NA NA 156.1072 -8.317770 4556.410
V45  8.9806122 NA NA 151.7405 -8.317772 3821.877
V46  9.1844898 NA NA 152.0637 -8.317771 3867.683
V47  9.3883673 NA NA 152.3952 -8.317771 3913.623
V48  9.5922449 NA NA 152.7189 -8.317771 3953.086
V49  9.7961224 NA NA 153.0400 -8.317771 4029.599
V50 10.0000000 NA NA 153.3677 -8.317771 4063.325

$`Nelder-Mead`
             I lb ub        P         L         S
V1   0.0100000 NA NA 524.2970 -8.317766       NaN
V2   0.2138776 NA NA 701.0264 -8.317766       NaN
V3   0.4177551 NA NA 513.7134 -8.317766       NaN
V4   0.6216327 NA NA 382.4906 -8.317766  82844.75
V5   0.8255102 NA NA 507.9364 -8.317766       NaN
V6   1.0293878 NA NA 422.5637 -8.317766  81861.83
V7   1.2332653 NA NA 506.2554 -8.317766       NaN
V8   1.4371429 NA NA 442.7837 -8.317766       NaN
V9   1.6410204 NA NA 673.6389 -8.317766  90486.70
V10  1.8448980 NA NA 568.4131 -8.317766 476819.44
V11  2.0487755 NA NA 421.4331 -8.317766       NaN
V12  2.2526531 NA NA 463.3707 -8.317766       NaN
V13  2.4565306 NA NA 505.3083 -8.317766       NaN
V14  2.6604082 NA NA 547.2460 -8.317766       NaN
V15  2.8642857 NA NA 442.5321 -8.317766  66142.32
V16  3.0681633 NA NA 474.0312 -8.317766       NaN
V17  3.2720408 NA NA 673.0588 -8.317766       NaN
V18  3.4759184 NA NA 714.9964 -8.317766 109963.94
V19  3.6797959 NA NA 380.1229 -8.317766       NaN
V20  3.8836735 NA NA 401.1835 -8.317766  99239.37
V21  4.0875510 NA NA 422.2440 -8.317766  96402.11
V22  4.2914286 NA NA 443.3046 -8.317766       NaN
V23  4.4953061 NA NA 464.3651 -8.317766       NaN
